alpha_name,Profit,Total Trades,Winning Trades,Strictly Winning Trades,Win Rate,Allocated Funds,Sortino Ratio,0,1,2,3,4
alpha17,-852.9708823745204,29.0,11.0,11.0,0.3793103448275862,115522.4873058636,1.3682801252526062,7.0,15.0,3.0,0.9320320200006933,0.9976055237581058
alpha18,-897.5874273302179,28.0,11.0,11.0,0.39285714285714285,116313.33335628896,1.388799415538068,4.0,12.0,0.4149951952731824,0.9973696487314992,
